city_id,city_name,event_id,title,start_date,end_date,peak_24h_rainfall_mm,severity,water_level_m,affected_population_est,key_zones,description,response_summary
VJA,Vijayawada / Amaravati,FL_VJA_2024_09,Budameru Flash Inundation & Krishna Surplus (September 2024),2024-08-31,2024-09-08,290.0,CRITICAL,3.2,275000,"['Ajit Singh Nagar', 'Payakapuram', 'Nunna', 'Kundavari Kandrika', 'Ibrahimpatnam']",Unprecedented 290mm rainfall in Krishna/Budameru catchment caused Budameru breaches inundating over 30 municipal wards in northern Vijayawada. Prakasam barrage discharged 11.43 lakh cusecs.,45 SDRF/NDRF teams deployed with 180 motorized rescue boats; drone food dropping deployed in Singh Nagar.
VJA,Vijayawada / Amaravati,FL_VJA_2020_10,Krishna River Depression & Urban Waterlogging (October 2020),2020-10-12,2020-10-16,175.0,HIGH,1.8,90000,"['One Town', 'Gunadala', 'Patamata', 'Governorpet']",Deep depression over West-Central Bay of Bengal caused sustained heavy precipitation overwhelming urban stormwater canals (Eluru and Ryves canals).,Municipal pumps drained low-lying subways; power supply temporarily disconnected in waterlogged wards.
VJA,Vijayawada / Amaravati,FL_VJA_2019_08,Krishna River Basin Flood (August 2019),2019-08-10,2019-08-18,210.0,HIGH,2.4,120000,"['Krishnalanka', 'Bhavanipuram', 'Undavalli', 'Tadepalle']",Huge inflows into Prakasam Barrage (8.2 lakh cusecs) inundated riverbank settlements along Krishnalanka and low-lying agricultural plains in Undavalli.,"Evacuation of 15,000 residents from Krishna riverbed into 28 municipal relief centers."
CHE,Chennai,FL_CHE_2023_12,Cyclone Michaung Catastrophic Inundation (December 2023),2023-12-03,2023-12-07,450.0,CRITICAL,3.5,450000,"['Velachery', 'Mudichur', 'Pallikaranai', 'Perumbakkam', 'Kolathur']",Severe Cyclonic Storm Michaung stalled off Chennai coast dumping over 450mm in 24 hours. Adyar and Cooum rivers breached banks while Buckingham Canal backed up from coastal storm surges.,Indian Army and NDRF deployed hovercrafts and amphibious tracked vehicles; 350+ heavy submersible pumps deployed in Velachery.
CHE,Chennai,FL_CHE_2015_12,Historic Chennai Deluge (December 2015),2015-11-30,2015-12-05,494.0,CRITICAL,4.0,800000,"['Saidapet', 'Kotturpuram', 'T. Nagar', 'Tambaram', 'Velachery']","Highest single-day precipitation in a century (494mm) combined with 29,000 cusecs release from Chembarambakkam reservoir inundated 100+ wards under 2 to 4 meters of water.",Tri-service rescue operation; Chennai airport runway submerged for 5 days; INS Airavat deployed with humanitarian relief.
BOM,Mumbai,FL_BOM_2005_07,Historic July 26 Mumbai Cloudburst (July 2005),2005-07-26,2005-07-28,944.0,CRITICAL,3.8,1200000,"['Kurla', 'Sion', 'Hindmata', 'Bandra-Kurla Complex', 'Milan Subway']","Unprecedented 944mm rainfall within 24 hours synchronized with high tide in the Arabian Sea choked Mithi River discharge, paralyzing suburban rail and drowning subways.",Armed forces airlifted marooned passengers; formation of Chitale Committee and launch of BRIMSTOWAD stormwater drainage revamp.
BOM,Mumbai,FL_BOM_2023_07,Monsoon Surge & Mithi River High Alert (July 2023),2023-07-20,2023-07-25,280.0,HIGH,1.9,180000,"['Hindmata', ""King's Circle"", 'Kurla West', 'Andheri Subway']",Intense active monsoon surge coinciding with 4.5m spring tides caused severe waterlogging in central Mumbai low-lying chronic spots.,BMC activated 450 dewatering dewatering pumps and underground stormwater holding tanks at Pramod Mahajan Park & Milan Subway.
BLR,Bengaluru,FL_BLR_2022_09,Bellandur & EcoSpace Tech Corridor Inundation (September 2022),2022-09-04,2022-09-07,131.0,CRITICAL,2.2,150000,"['Bellandur', 'Outer Ring Road (EcoSpace)', 'Rainbow Drive', 'Mahadevapura', 'Manyata']","Severe convective storms choked stormwater drains (Rajakaluves) encroached by rapid IT corridor development. Bellandur and Varthur lakes overflowed, submerging tech parks and luxury villas.",SDRF deployed tractors and inflatable boats to evacuate IT professionals; BBMP initiated emergency demolition of rajakaluve encroachments.
DEL,Delhi NCR,FL_DEL_2023_07,Historic Yamuna 208.66m Breach & Ring Road Deluge (July 2023),2023-07-09,2023-07-16,153.0,CRITICAL,208.66,350000,"['Yamuna Bazar', 'Kashmere Gate ISBT', 'ITO Barrage', 'Monastery Market', 'Civil Lines', 'Mayur Vihar']","Unprecedented discharge from Hathnikund Barrage combined with heavy local rain pushed Yamuna to an all-time record 208.66m, submerging ITO Ring Road, Kashmere Gate ISBT, and Supreme Court gate.","Indian Army deployed engineering regiments to repair breached regulator 12 at WHO building; 25,000 people evacuated to relief camps."
HYD,Hyderabad,FL_HYD_2020_10,Historic Hyderabad Cloudburst & Musi River Deluge (October 2020),2020-10-13,2020-10-19,324.0,CRITICAL,2.8,250000,"['Nadeem Colony', 'Begumpet', 'Moosarambagh', 'Al Jubail Colony', 'Tolichowki', 'Hafiz Baba Nagar']","Deep depression produced historic 324mm rainfall in 24 hours (highest since 1908). Musi River and Hussain Sagar surplus weirs overflowed, submerging residential colonies under 10 feet of water.",NDRF & Indian Army columns mobilized with motorized Gemini boats; GHMC distributed financial relief to 6.5 lakh flood-hit families.
CCU,Kolkata,FL_CCU_2020_05,Super Cyclone Amphan Storm Surge & Urban Inundation (May 2020),2020-05-20,2020-05-24,236.0,CRITICAL,2.5,400000,"['Behala', 'Thanthania', 'EM Bypass', 'Park Circus', 'Taratala', 'College Street']","Category 5 Super Cyclone Amphan landfall triggered 130 km/h gusts and 236mm rainfall. Storm surge backed up Hooghly drainage sluices, leaving Central and South Kolkata underwater for 5 days.","KMC activated 76 drainage pumping stations; Indian Army cleared 1,000+ uprooted banyan trees blocking drainage arteries."
AMD,Ahmedabad,FL_AMD_2022_07,Ahmedabad Flash Cloudburst & Underpass Inundation (July 2022),2022-07-10,2022-07-14,220.0,HIGH,2.0,120000,"['Akhbarnagar Underpass', 'Vatva', 'Isanpur', 'Paldi', 'Maninagar', 'Vasna']","Sudden cloudburst dumped 115mm in 3 hours, completely drowning 8 vehicular underpasses. Kharicut canal overflowed into eastern industrial and residential clusters.",AMC sealed all railway underpasses to prevent vehicular drownings; 28 gates of Vasna barrage opened to drain Sabarmati.
PNQ,Pune,FL_PNQ_2019_09,Ambil Odha Stream Flash Deluge & Wall Collapse (September 2019),2019-09-25,2019-09-29,212.0,CRITICAL,2.6,85000,"['Ambil Odha', 'Sinhagad Road', 'Aranyeshwar', 'Sahakar Nagar', 'Pulachi Wadi', 'Khadki']","Intense convective cloudburst (110mm in 2 hours) caused the Ambil Odha stream to swell catastrophically. Compound walls breached, washing away hundreds of parked vehicles along Sinhagad Road.",PMC and NDRF mounted midnight rescue operations; compensation distributed for damaged housing societies and vehicles.
COK,Kochi,FL_COK_2018_08,Great Kerala Deluge & Periyar River Inundation (August 2018),2018-08-15,2018-08-22,310.0,CRITICAL,3.4,320000,"['Aluva', 'Edappally', 'Kaloor', 'Companypady', 'Panampilly Nagar', 'Thevara']",Opening of 35 dams across Kerala caused Periyar River to discharge peak surges. Kochi International Airport (CIAL) runway was submerged under 4 feet of water for two weeks.,"Indian Navy executed 'Operation Madad'; 800+ indigenous fisherman boats rescued over 65,000 citizens from rooftop sumps."
GAU,Guwahati,FL_GAU_2022_06,Bharalu River Urban Flash Flood & Hill Slump (June 2022),2022-06-15,2022-06-22,185.0,HIGH,2.1,110000,"['Anil Nagar', 'Nabin Nagar', 'Rukminigaon', 'Zoo Road', 'Rajgarh', 'Chandmari']","Heavy monsoon downpours combined with Brahmaputra high water levels prevented Bharalu river sluice gates from discharging, turning low-lying municipal wards into standing lakes.",SDRF rubber boats operated inside Anil Nagar lanes for 6 consecutive days; super-sucker dewatering pumps deployed at Bharalumukh.
PAT,Patna,FL_PAT_2019_09,Historic Patna Urban Sump Deluge (September-October 2019),2019-09-27,2019-10-05,245.0,CRITICAL,3.0,380000,"['Rajendra Nagar', 'Kankarbagh', 'Patliputra Colony', 'Bazar Samiti', 'Lohanipur']","Ganga and Punpun rivers flowed above danger marks while 245mm torrential rain fell in 48 hours. Drainage sump houses failed due to siltation, marooning Rajendra Nagar under 8 feet of water for 9 days.","NDRF & Coal India high-capacity 1000 GPM dewatering pumps deployed; IAF helicopters air-dropped 100,000 food packets."
